Job,Department,Organization Group,Overtime,Total Salary,Total Benefits,Total Compensation
"Manager II, MTA",Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,4808.0,1765.13,6573.13
Mayoral Staff XVI,Mayor,General Administration & Finance,0.0,180853.42,59350.44,240203.86
Sr Community Dev Spec 2,Mayor,General Administration & Finance,0.0,138989.68,38491.99,177481.67
Mayoral Staff XI,Mayor,General Administration & Finance,0.0,118331.6,43807.59,162139.19
Mayoral Staff XIV,Mayor,General Administration & Finance,0.0,62224.3,21611.94,83836.24
"Head Atty, Civil & Criminal",Public Defender,Public Protection,0.0,235926.59,60566.97,296493.56
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",10090.5,70366.78,17467.5,87834.28
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",2748.08,42779.15,12592.72,55371.87
Parking Meter Repairer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",3.1,75735.58,22762.12,98497.7
Trasnprt Controller Trainee,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",16470.65,115797.88,26346.29,142144.17
School Crossing Guard,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,10190.9,776.34,10967.24
Truck Driver,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",76888.72,193195.07,36591.06,229786.13
School Crossing Guard,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,11509.39,910.0,12419.39
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",97.76,9880.39,2722.25,12602.64
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,2251.0,701.08,2952.08
Sr Community Dev Spec 2,Mayor,General Administration & Finance,0.0,119650.22,33316.63,152966.85
Accountant III,Mayor,General Administration & Finance,0.0,98988.02,27504.84,126492.86
Manager I,Public Defender,Public Protection,0.0,4466.0,1240.43,5706.43
Sr Payroll & Personnel Clerk,Public Defender,Public Protection,0.0,85174.3,23771.52,108945.82
Attorney (Civil/Criminal),Public Defender,Public Protection,0.0,154674.32,42406.71,197081.03
Attorney (Civil/Criminal),Public Defender,Public Protection,0.0,177315.8,47965.53,225281.33
Criminal Justice Specialist 2,Public Defender,Public Protection,0.0,96650.21,28956.95,125607.16
Trans Safety Specialist,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,155956.15,42022.41,197978.56
Traffic Survey Technician,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,92186.04,26063.22,118249.26
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",4584.92,30126.52,7318.1,37444.62
General Laborer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",13380.72,47873.52,10650.57,58524.09
Trans Safety Specialist,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,150271.9,40516.99,190788.89
Electronic Maintenance Tech,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",1484.7,131931.12,36738.22,168669.34
Parking Control Officer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",61516.66,141247.2,27162.71,168409.91
School Crossing Guard,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,12202.3,929.21,13131.51
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",22859.19,117905.56,27869.06,145774.62
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",8266.02,105572.43,27290.55,132862.98
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",14108.89,107505.65,26894.89,134400.54
Transportation Planner IV,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,143718.22,39756.35,183474.57
Senior Account Clerk,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",15.17,83795.47,22931.09,106726.56
Transit Ambassador,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",1326.22,10989.18,2798.29,13787.47
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",7106.09,53910.22,13291.32,67201.54
Parking Control Officer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,9248.07,2995.2,12243.27
"Head Atty, Civil & Criminal",Public Defender,Public Protection,0.0,253328.2,64089.25,317417.45
Legal Assistant,Public Defender,Public Protection,146.99,105140.82,29556.01,134696.83
Sergeant 3,Police,Public Protection,0.0,68290.74,13308.32,81599.06
Captain 3,Police,Public Protection,0.0,240535.76,50174.47,290710.23
Auto Machinist Asst Sprv,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",12097.26,148665.29,39046.9,187712.19
Transit Supervisor,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",18942.25,135999.85,33950.82,169950.67
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",9639.53,92043.3,23562.55,115605.85
Communications Dispatcher 2,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,5023.23,1083.37,6106.6
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",1902.55,17723.53,4171.41,21894.94
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",11295.78,106879.91,27448.03,134327.94
Parking Control Officer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",9040.72,92093.87,23991.51,116085.38
Parking Control Officer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",43103.25,130088.36,26338.53,156426.89
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",10497.86,95249.72,24291.51,119541.23
Senior Parts Storekeeper,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",5515.71,96443.86,25769.11,122212.97
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",18746.88,107497.76,25317.22,132814.98
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",7033.11,99473.96,25909.12,125383.08
Transportation Planner IV,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,132338.1,36457.45,168795.55
Project Manager 3,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,224160.39,57261.38,281421.77
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",12270.44,90887.25,22557.31,113444.56
Attorney (Civil/Criminal),Public Defender,Public Protection,0.0,238526.59,60854.67,299381.26
Attorney (Civil/Criminal),Public Defender,Public Protection,0.0,143564.4,39954.24,183518.64
Police Officer 3,Police,Public Protection,60293.81,148442.94,13786.36,162229.3
IT Operations Support Admin IV,Police,Public Protection,0.0,149807.33,38444.66,188251.99
Sergeant 3,Police,Public Protection,112285.69,290058.26,37706.62,327764.88
Lieutenant 3,Police,Public Protection,124739.66,318654.98,42362.93,361017.91
Transit Supervisor,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",5121.19,103205.16,27700.85,130906.01
Assistant Purchaser,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,85726.4,24089.74,109816.14
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",30593.19,128950.94,29602.39,158553.33
Transit Supervisor,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",55989.37,155366.12,32338.16,187704.28
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",17709.88,113708.52,27634.07,141342.59
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",6711.62,66680.17,16902.92,83583.09
Automotive Service Worker,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",4895.37,101696.59,27603.07,129299.66
Transit Training Specialist,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",9642.32,102415.76,26261.53,128677.29
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",7726.0,50209.77,12277.91,62487.68
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",8844.29,63888.64,15789.06,79677.7
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",7685.68,97263.96,25179.37,122443.33
Custodian,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,20869.42,5861.07,26730.49
Assistant Engineer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,113175.61,31924.75,145100.36
Parking Control Officer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",47164.39,120314.27,23923.16,144237.43
Industrial Hygienist,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,88018.07,24015.46,112033.53
Electrical Transit System Mech,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",4480.27,123243.25,33480.03,156723.28
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",585.47,39379.32,12141.92,51521.24
Legal Assistant,Public Defender,Public Protection,0.0,2966.4,224.38,3190.78
Sergeant 3,Police,Public Protection,61788.79,232158.42,35129.05,267287.47
Captain 3,Police,Public Protection,3773.27,247963.6,49925.91,297889.51
Community Police Services Aide,Police,Public Protection,1319.74,37342.91,9932.54,47275.45
Lieutenant 3,Police,Public Protection,33468.83,244093.21,39638.14,283731.35
Police Officer 3,Police,Public Protection,71764.09,218402.28,30422.08,248824.36
"Electrl Trnst Mech, Asst Sprv",Municipal Transportation Agcy,"Public Works, Transportation & Commerce",2260.65,117766.09,32370.86,150136.95
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",17161.81,87431.57,20935.67,108367.24
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",16035.37,100602.73,24787.53,125390.26
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",22417.25,118888.32,28414.21,147302.53
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",7400.9,48965.6,12018.55,60984.15
"Manager V, MTA",Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,190849.69,68527.28,259376.97
"BdComm Mbr, Grp5,M$100/Mo",Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,368.0,28.56,396.56
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",58.24,13225.34,3506.26,16731.6
Administrative Analyst,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,114567.31,31925.43,146492.74
Senior Account Clerk,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",8284.96,92065.26,24299.77,116365.03
Senior Administrative Analyst,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,110482.1,29962.91,140445.01
Automotive Mechanic,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",12231.81,120421.29,31187.5,151608.79
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",10084.81,102032.17,25983.64,128015.81
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",1350.11,21077.02,5617.86,26694.88
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",3923.58,76019.97,20285.28,96305.25
Track Maintenance Worker,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",6814.35,92458.57,24458.74,116917.31
Automotive Body & Fender Wrk,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",4834.33,128514.54,34896.18,163410.72
Human Resources Analyst,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,94713.06,26373.51,121086.57
Transportation Planner II,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,102957.28,29030.42,131987.7
"Manager IV, MTA",Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,170815.12,57180.15,227995.27
Automotive Machinist,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",3602.41,100676.88,30721.88,131398.76
Automotive Mechanic,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",5401.55,109276.34,29554.49,138830.83
Comm Pol Svcs Aide Supervisor,Police,Public Protection,6230.48,111087.53,29833.52,140921.05
Community Police Services Aide,Police,Public Protection,1789.99,93029.26,25934.65,118963.91
Police Officer 3,Police,Public Protection,27579.68,177268.19,30313.13,207581.32
Electrical Transit System Mech,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",4233.91,120838.61,33160.81,153999.42
Transit Supervisor,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",61228.28,181619.14,38380.29,219999.43
Planner 1,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,91744.0,25886.35,117630.35
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,49825.27,14480.81,64306.08
Wire Rope Cable Maint Mechanic,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",15211.79,136977.3,35401.14,172378.44
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",6237.85,27424.96,7109.06,34534.02
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",10397.04,89979.86,22515.52,112495.38
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",15089.71,95722.37,23238.21,118960.58
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,3682.54,281.72,3964.26
Human Resources Analyst,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,115011.29,32291.96,147303.25
Automotive Mechanic Asst Sprv,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",2722.35,143645.66,39583.34,183229.0
Electronic Maintenance Tech,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",6624.52,133385.31,36085.13,169470.44
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",11093.41,102421.47,26147.4,128568.87
Automotive Mechanic,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,6357.82,486.38,6844.2
Transportation Planner II,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,97592.26,27276.1,124868.36
Trasnprt Controller Trainee,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",42645.28,125684.22,23763.05,149447.27
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",28749.28,96001.46,20496.49,116497.95
Sergeant 3,Police,Public Protection,14356.39,188534.33,33661.51,222195.84
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,0.0,96004.49,27066.92,123071.41
Manager II,Human Services,Human Welfare & Neighborhood Development,0.0,165412.96,64902.3,230315.26
Emergency Services Coord II,Human Services,Human Welfare & Neighborhood Development,0.0,126722.14,32866.36,159588.5
Communications Specialist,Human Services,Human Welfare & Neighborhood Development,0.0,99982.95,40212.7,140195.65
Public Service Aide-Admin,Human Services,Human Welfare & Neighborhood Development,0.0,763.44,72.47,835.91
Secretary 1,Juvenile Court,Public Protection,0.0,63415.76,20089.7,83505.46
Accountant III,Juvenile Court,Public Protection,0.0,71665.03,20093.04,91758.07
Librarian 1,Public Library,Culture & Recreation,0.0,53788.42,15199.44,68987.86
Librarian 1,Public Library,Culture & Recreation,0.0,59382.38,16745.79,76128.17
General Laborer Supervisor 1,Public Library,Culture & Recreation,0.0,100138.7,28222.09,128360.79
Library Page,Public Library,Culture & Recreation,0.0,32562.72,10335.2,42897.92
Parking Control Officer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,48287.18,13724.06,62011.24
Electrical Transit System Mech,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",24604.85,140649.6,34361.18,175010.78
Track Maintenance Worker,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",586.38,58807.67,16556.67,75364.34
Transit Power Line Worker,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,2353.22,3970.51,6323.73
Employment & Training Spec 3,Human Services,Human Welfare & Neighborhood Development,0.0,105915.24,29940.52,135855.76
Management Assistant,Human Services,Human Welfare & Neighborhood Development,0.0,100419.79,28081.04,128500.83
Senior Account Clerk,Human Services,Human Welfare & Neighborhood Development,0.0,81542.23,23073.21,104615.44
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,0.0,99717.5,27870.24,127587.74
Protective Services Worker,Human Services,Human Welfare & Neighborhood Development,0.0,16456.01,2218.43,18674.44
Protective Services Worker,Human Services,Human Welfare & Neighborhood Development,1064.66,119310.06,31692.71,151002.77
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,0.0,2416.0,751.56,3167.56
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,0.0,2416.0,754.71,3170.71
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,0.0,2416.0,754.33,3170.33
Engineer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,172268.52,46251.71,218520.23
Librarian 1,Public Library,Culture & Recreation,0.0,108871.78,30729.15,139600.93
Library Technical Assistant 2,Public Library,Culture & Recreation,0.0,96272.54,27218.0,123490.54
Library Page,Public Library,Culture & Recreation,604.41,43463.69,13580.5,57044.19
Assistant Purchaser,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",496.8,86223.2,24289.82,110513.02
Principal Account Clerk,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,94676.8,26426.76,121103.56
Engineer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,172260.16,46306.33,218566.49
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",24454.48,116913.27,27576.35,144489.62
Track Maintenance Worker,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",547.91,93863.04,26184.52,120047.56
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",7209.07,49226.23,11999.81,61226.04
Transit Supervisor,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",1196.96,124063.22,34516.44,158579.66
"Manager II, MTA",Municipal Transportation Agcy,"Public Works, Transportation & Commerce",688.35,121360.55,43566.96,164927.51
Parking Control Officer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",1652.22,71642.4,20477.42,92119.82
Fare Collections Receiver,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",3970.54,88198.8,23863.58,112062.38
Electronic Maintenance Tech,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",5119.69,104176.76,27109.75,131286.51
Personnel Clerk,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,65757.73,18031.17,83788.9
Electronic Maintenance Tech,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",4282.08,137262.98,31434.47,168697.45
Electrical Transit System Mech,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",7341.6,122024.41,28690.94,150715.35
Transit Supervisor,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",16221.49,117486.76,29456.09,146942.85
Sr Payroll & Personnel Clerk,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",11541.45,115887.26,28059.78,143947.04
Custodian,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",4011.61,79949.85,21751.54,101701.39
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",13319.96,115038.36,29334.74,144373.1
Electronic Maintenance Tech,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",5082.37,152465.86,40787.27,193253.13
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,250.0,18.94,268.94
Painter,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",3485.11,104958.4,28757.54,133715.94
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",33085.95,119638.31,26611.79,146250.1
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",15940.71,82659.23,19822.99,102482.22
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",7020.64,82056.04,21416.59,103472.63
"Deputy Dir II, MTA",Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,308234.9,85387.59,393622.49
Glazier,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",6665.14,111247.82,29848.17,141095.99
Parking Control Officer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",81459.66,163765.08,29230.77,192995.85
Electronic Maintenance Tech,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",10973.5,142447.47,37465.72,179913.19
School Crossing Guard,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,9381.61,722.02,10103.63
Parking Control Officer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",545.91,44897.8,12652.32,57550.12
Electronic Maintenance Tech,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",3362.67,159313.24,42797.56,202110.8
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",23427.17,120579.79,27572.67,148152.46
Automotive Service Worker,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",4136.2,92689.77,25223.5,117913.27
Senior Account Clerk,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",2815.09,86595.39,23913.0,110508.39
Assistant Engineer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,127821.97,35846.87,163668.84
Chf Payroll & Personnel Clerk,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",30097.24,135336.47,31614.17,166950.64
General Laborer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,78976.49,22246.49,101222.98
Assistant Purchaser,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",0.0,85726.4,24104.63,109831.03
Transit Supervisor,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",2067.65,40250.54,11000.48,51251.02
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",9455.48,108349.25,28306.32,136655.57
Track Maintenance Worker,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",8632.85,98997.24,26083.33,125080.57
Maintenance Controller,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",13017.54,157920.86,41216.56,199137.42
Automotive Mechanic Sprv 1,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",69128.36,224405.05,43999.81,268404.86
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",18610.49,112661.7,27266.34,139928.04
Protective Services Worker,Human Services,Human Welfare & Neighborhood Development,353.82,96244.27,32432.13,128676.4
Eligibility Worker Supervisor,Human Services,Human Welfare & Neighborhood Development,0.0,108056.03,30528.64,138584.67
Senior Personnel Clerk,Human Services,Human Welfare & Neighborhood Development,1503.8,79783.0,22190.85,101973.85
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,1877.49,84356.31,23464.11,107820.42
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,427.95,63556.98,20030.73,83587.71
Public Service Trainee,Human Services,Human Welfare & Neighborhood Development,0.0,16072.7,1708.99,17781.69
Eligibility Worker Supervisor,Human Services,Human Welfare & Neighborhood Development,0.0,4113.0,1144.44,5257.44
Public Service Trainee,Human Services,Human Welfare & Neighborhood Development,0.0,1067.93,81.12,1149.05
Librarian 1,Public Library,Culture & Recreation,0.0,108189.44,30396.38,138585.82
Library Assistant,Public Library,Culture & Recreation,171.64,50197.43,14167.15,64364.58
Library Technical Assistant 1,Public Library,Culture & Recreation,0.0,68632.26,19098.91,87731.17
Librarian 1,Public Library,Culture & Recreation,0.0,36095.94,2754.54,38850.48
Automotive Service Worker,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",12863.28,109281.32,28150.67,137431.99
Permit and Citation Clerk,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",1060.69,87619.09,24636.39,112255.48
Parking Control Officer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",69062.54,156432.03,29650.3,186082.33
General Laborer,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",1601.64,42211.55,10636.79,52848.34
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",776.78,20124.32,3250.44,23374.76
Protective Services Worker,Human Services,Human Welfare & Neighborhood Development,0.0,71311.3,19470.11,90781.41
Public Service Trainee,Human Services,Human Welfare & Neighborhood Development,0.0,2483.04,191.0,2674.04
Administrative Analyst,Human Services,Human Welfare & Neighborhood Development,0.0,27455.9,3623.44,31079.34
Media Production Specialist,Human Services,Human Welfare & Neighborhood Development,0.0,88280.21,24972.81,113253.02
Manager II,Human Services,Human Welfare & Neighborhood Development,0.0,161490.05,54119.51,215609.56
Public Service Trainee,Human Services,Human Welfare & Neighborhood Development,0.0,22707.8,3777.44,26485.24
Accountant Intern,Human Services,Human Welfare & Neighborhood Development,0.0,73008.6,20585.72,93594.32
Senior Benefits Analyst,Health Service System,General Administration & Finance,0.0,114006.35,32248.11,146254.46
Senior Benefits Analyst,Health Service System,General Administration & Finance,0.0,117729.97,33393.48,151123.45
Library Technical Assistant 2,Public Library,Culture & Recreation,512.05,96903.02,27373.46,124276.48
Librarian 1,Public Library,Culture & Recreation,0.0,107240.36,30341.31,137581.67
Librarian 1,Public Library,Culture & Recreation,0.0,107264.28,30364.52,137628.8
Librarian 1,Public Library,Culture & Recreation,0.0,57483.07,16294.04,73777.11
Library Assistant,Public Library,Culture & Recreation,905.73,80803.24,22732.7,103535.94
Custodian,Public Library,Culture & Recreation,5660.01,79560.42,21259.2,100819.62
Automotive Service Worker,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",2575.29,57876.21,15817.03,73693.24
Electronic Maintenance Tech,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",28218.73,184304.16,44220.07,228524.23
Construction Inspector,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",770.49,132480.55,37291.24,169771.79
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",27080.74,114773.15,26430.2,141203.35
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,0.0,96027.53,27162.18,123189.71
HSA Emp & Training Spec II,Human Services,Human Welfare & Neighborhood Development,220.55,103617.67,29211.51,132829.18
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,4867.45,85636.35,23215.69,108852.04
Veterans Claims Representative,Human Services,Human Welfare & Neighborhood Development,0.0,60513.21,17036.06,77549.27
Public Svc Aide-Public Works,Human Services,Human Welfare & Neighborhood Development,0.0,3615.0,206.74,3821.74
Public Svc Aide-Public Works,Human Services,Human Welfare & Neighborhood Development,0.0,2046.95,166.42,2213.37
Library Page,Public Library,Culture & Recreation,363.75,31875.6,10050.79,41926.39
Librarian 3,Public Library,Culture & Recreation,0.0,128730.62,36295.03,165025.65
Library Page,Public Library,Culture & Recreation,131.79,54911.01,17282.02,72193.03
Bldg & Grounds Patrol Officer,Public Library,Culture & Recreation,1953.33,82841.24,22821.8,105663.04
Library Page,Public Library,Culture & Recreation,0.0,14698.24,4646.68,19344.92
Transit Supervisor,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",10454.29,110938.2,28845.19,139783.39
Automotive Mechanic Asst Sprv,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",8714.91,150879.93,40731.71,191611.64
Car and Auto Painter,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",5520.02,106871.15,28851.52,135722.67
Human Services Technician,Human Services,Human Welfare & Neighborhood Development,0.0,82603.13,23272.53,105875.66
Clerk,Human Services,Human Welfare & Neighborhood Development,0.0,62008.4,19648.73,81657.13
Junior Clerk,Human Services,Human Welfare & Neighborhood Development,0.0,76.11,8517.72,8593.83
Employment & Training Spec 3,Human Services,Human Welfare & Neighborhood Development,0.0,48652.75,12973.19,61625.94
Benefits Analyst,Health Service System,General Administration & Finance,0.0,80479.21,22782.44,103261.65
Senior Health Program Planner,Health Service System,General Administration & Finance,0.0,72449.05,18812.15,91261.2
Benefits Analyst,Health Service System,General Administration & Finance,0.0,77697.95,21993.27,99691.22
Library Technical Assistant 2,Public Library,Culture & Recreation,0.0,102312.88,29012.23,131325.11
Dep Dir II,Public Library,Culture & Recreation,0.0,187716.16,59414.69,247130.85
Library Technical Assistant 1,Public Library,Culture & Recreation,0.0,92104.92,25875.55,117980.47
Library Assistant,Public Library,Culture & Recreation,214.28,34442.41,8762.88,43205.29
Library Page,Public Library,Culture & Recreation,0.0,16032.44,5013.75,21046.19
Transit Operator,Municipal Transportation Agcy,"Public Works, Transportation & Commerce",34922.56,132780.86,29852.08,162632.94
